ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,STEDTID,GlossInSource
rongmeinruanghmei-31_foot-1,,rongmeinruanghmei,31_foot,*r-kya-ŋ,*r-kya-ŋ,,,Zhang2019,338,,,,,
rongmeinruanghmei-31_foot-2,,rongmeinruanghmei,31_foot,*pey,*pey,,,Zhang2019,343,,,,,
rongmeinruanghmei-37_hair-1,,rongmeinruanghmei,37_hair,*(t)sam,*(t)sam,,,Zhang2019,366,,,,,
rongmeinruanghmei-37_hair-2,,rongmeinruanghmei,37_hair,*s/r-mul ⪤ *s-mil ⪤ *s-myal,*s/r-mul ⪤ *s-mil ⪤ *s-myal,,,Zhang2019,363,,,,,
rongmeinruanghmei-38_hand-1,,rongmeinruanghmei,38_hand,*ban,*ban,,,Zhang2019,745,,,,,
rongmeinruanghmei-39_head-1,,rongmeinruanghmei,39_head,*k-lu,*k-lu,,,Zhang2019,1221,,,,,
rongmeinruanghmei-39_head-2,,rongmeinruanghmei,39_head,*pil,*pil,,,Zhang2019,1242,,,,,
rongmeinruanghmei-41_heart-1,,rongmeinruanghmei,41_heart,*m-lu(ŋ/m),*m-lu(ŋ/m),,,Zhang2019,1381,,,,,
rongmeinruanghmei-41_heart-2,,rongmeinruanghmei,41_heart,*s/k-niŋ,*s/k-niŋ,,,Zhang2019,251,,,,,
rongmeinruanghmei-42_horn-1,,rongmeinruanghmei,42_horn,*r-ki,*r-ki,,,Zhang2019,2012,,,,,
rongmeinruanghmei-46_knee-1,,rongmeinruanghmei,46_knee,*m-kuː(k/ŋ),*m-kuː(k/ŋ),,,Zhang2019,1251,,,,,
rongmeinruanghmei-47_know-1,,rongmeinruanghmei,47_know,*syey-s,*syey-s,,,Zhang2019,2670,,,,,
rongmeinruanghmei-48_leaf-1,,rongmeinruanghmei,48_leaf,*s-nas,*s-nas,,,Zhang2019,402,,,,,
rongmeinruanghmei-50_liver-1,,rongmeinruanghmei,50_liver,*m-sin,*m-sin,,,Zhang2019,1390,,,,,
rongmeinruanghmei-52_louse-1,,rongmeinruanghmei,52_louse,*s-r(y)ik,*s-r(y)ik,,,Zhang2019,2609,,,,,
rongmeinruanghmei-57_mouth-1,,rongmeinruanghmei,57_mouth,*s-muːr,*s-muːr,,,Zhang2019,467,,,,,
rongmeinruanghmei-58_name-1,,rongmeinruanghmei,58_name,*r-mi(ŋ/n),*r-mi(ŋ/n),,,Zhang2019,2450,,,,,
rongmeinruanghmei-59_neck-1,,rongmeinruanghmei,59_neck,*k-waŋ,*k-waŋ,,,Zhang2019,3367,,,,,
rongmeinruanghmei-60_new-1,,rongmeinruanghmei,60_new,*g-sar,*g-sar,,,Zhang2019,2651,,,,,
rongmeinruanghmei-62_nose-1,,rongmeinruanghmei,62_nose,*s-na ⪤ *s-naːr,*s-na ⪤ *s-naːr,,,Zhang2019,803,,,,,
rongmeinruanghmei-62_nose-2,,rongmeinruanghmei,62_nose,*t(w)a(ŋ/n),*t(w)a(ŋ/n),,,Zhang2019,808,,,,,
rongmeinruanghmei-62_nose-3,,rongmeinruanghmei,62_nose,*(k/g)ywaŋ,*(k/g)ywaŋ,,,Zhang2019,809,,,,,
rongmeinruanghmei-64_one-1,,rongmeinruanghmei,64_one,*kat,*kat,,,Zhang2019,2301,,,,,
rongmeinruanghmei-65_path-1,,rongmeinruanghmei,65_path,*lam,*lam,,,Zhang2019,1017,,,,,
rongmeinruanghmei-67_rain-1,,rongmeinruanghmei,67_rain,*t(s)iŋ,*t(s)iŋ,,,Zhang2019,6312,,,,,
rongmeinruanghmei-73_see-1,,rongmeinruanghmei,73_see,*huŋ,*huŋ,,,Zhang2019,5798,,,,,
rongmeinruanghmei-75_sit-1,,rongmeinruanghmei,75_sit,*(b/p)am,*(b/p)am,,,Zhang2019,2149,,,,,
rongmeinruanghmei-75_sit-2,,rongmeinruanghmei,75_sit,*m-(t/d)u(ŋ/k),*m-(t/d)u(ŋ/k),,,Zhang2019,1906,,,,,
rongmeinruanghmei-76_skin-1,,rongmeinruanghmei,76_skin,*m/s-k-rəy,*m/s-k-rəy,,,Zhang2019,596,,,,,
rongmeinruanghmei-77_sleep-1,,rongmeinruanghmei,77_sleep,*s-y(i/u)p,*s-y(i/u)p,,,Zhang2019,127,,,,,
rongmeinruanghmei-79_smoke-1,,rongmeinruanghmei,79_smoke,*kəw-n/t,*kəw-n/t,,,Zhang2019,2361,,,,,
rongmeinruanghmei-83_sun-1,,rongmeinruanghmei,83_sun,*s-nəy,*s-nəy,,,Zhang2019,85,,,,,
rongmeinruanghmei-85_tail-1,,rongmeinruanghmei,85_tail,*r-may ⪤ *m-ray,*r-may ⪤ *m-ray,,,Zhang2019,1288,,,,,
rongmeinruanghmei-86_that-1,,rongmeinruanghmei,86_that,*m-day ⪤ *m-di,*m-day ⪤ *m-di,,,Zhang2019,2195,,,,,
rongmeinruanghmei-88_tongue-1,,rongmeinruanghmei,88_tongue,*m/s-lay ⪤ *s-ley,*m/s-lay ⪤ *s-ley,,,Zhang2019,621,,,,,
rongmeinruanghmei-89_tooth-1,,rongmeinruanghmei,89_tooth,*s/p-wa,*s/p-wa,,,Zhang2019,632,,,,,
rongmeinruanghmei-90_tree-1,,rongmeinruanghmei,90_tree,*si(ŋ/k),*si(ŋ/k),,,Zhang2019,2658,,,,,
rongmeinruanghmei-93_water-1,,rongmeinruanghmei,93_water,*m-t(w)əy-n ⪤ *m-ti-s,*m-t(w)əy-n ⪤ *m-ti-s,,,Zhang2019,298,,,,,
rongmeinruanghmei-98_woman-1,,rongmeinruanghmei,98_woman,*pwi(y)-n,*pwi(y)-n,,,Zhang2019,1622,,,,,
rongmeinruanghmei-100_you-1,,rongmeinruanghmei,100_you,*na-ŋ,*na-ŋ,,,Zhang2019,2489,,,,,
tangkhul-2_ash-1,,tangkhul,2_ash,*la,*la,,,Zhang2019,5606,,,,,
tangkhul-2_ash-2,,tangkhul,2_ash,*pʷut ⪤ *hwut,*pʷut ⪤ *hwut,,,Zhang2019,3514,,,,,
tangkhul-3_bark-1,,tangkhul,3_bark,*kur ⪤ *kwar,*kur ⪤ *kwar,,,Zhang2019,593,,,,,
tangkhul-4_belly-1,,tangkhul,4_belly,*ma(k/ŋ),*ma(k/ŋ),,,Zhang2019,1384,,,,,
tangkhul-4_belly-2,,tangkhul,4_belly,*pʰen,*pʰen,,,Zhang2019,7120,,,,,
tangkhul-4_belly-3,,tangkhul,4_belly,*d-puːk,*d-puːk,,,Zhang2019,164,,,,,
tangkhul-4_belly-4,,tangkhul,4_belly,*pʷam,*pʷam,,,Zhang2019,137,,,,,
tangkhul-4_belly-5,,tangkhul,4_belly,*s-bʷa(m/p),*s-bʷa(m/p),,,Zhang2019,163,,,,,
tangkhul-6_bird-1,,tangkhul,6_bird,*w(a/u),*w(a/u),,,Zhang2019,1603,,,,,
tangkhul-6_bird-2,,tangkhul,6_bird,*naːw,*naːw,,,Zhang2019,2492,,,,,
tangkhul-7_bite-1,,tangkhul,7_bite,*m-k(r)a-y,*m-k(r)a-y,,,Zhang2019,1777,,,,,
tangkhul-8_black-1,,tangkhul,8_black,*tsik,*tsik,,,Zhang2019,6964,,,,,
tangkhul-8_black-2,,tangkhul,8_black,*haːŋ,*haːŋ,,,Zhang2019,315,,,,,
tangkhul-9_blood-1,,tangkhul,9_blood,*s-hywəy-t,*s-hywəy-t,,,Zhang2019,230,,,,,
tangkhul-10_bone-1,,tangkhul,10_bone,*s/m/g-rus,*s/m/g-rus,,,Zhang2019,232,,,,,
tangkhul-10_bone-2,,tangkhul,10_bone,*g-ra-t,*g-ra-t,,,Zhang2019,237,,,,,
tangkhul-12_burn-1,,tangkhul,12_burn,*dik,*dik,,,Zhang2019,6965,,,,,
tangkhul-13_claw-1,,tangkhul,13_claw,*m-(y/r)in,*m-(y/r)in,,,Zhang2019,513,,,,,
tangkhul-14_cloud-1,,tangkhul,14_cloud,*r-məw,*r-məw,,,Zhang2019,2473,,,,,
tangkhul-15_cold-1,,tangkhul,15_cold,*sik,*sik,,,Zhang2019,7108,,,,,
tangkhul-16_come-1,,tangkhul,16_come,*la-y ⪤ *ra,*la-y ⪤ *ra,,,Zhang2019,3569,,,,,
tangkhul-17_die-1,,tangkhul,17_die,*səy,*səy,,,Zhang2019,27,,,,,
tangkhul-18_dog-1,,tangkhul,18_dog,*d-kʷəy-n,*d-kʷəy-n,,,Zhang2019,1764,,,,,
tangkhul-19_drink-1,,tangkhul,19_drink,*maŋ,*maŋ,,,Zhang2019,6886,,,,,
tangkhul-20_dry-1,,tangkhul,20_dry,*kaw,*kaw,,,Zhang2019,7030,,,,,
tangkhul-20_dry-2,,tangkhul,20_dry,*tʰeŋ,*tʰeŋ,,,Zhang2019,6891,,,,,
tangkhul-21_ear-1,,tangkhul,21_ear,*r/g-na,*r/g-na,,,Zhang2019,811,,,,,
tangkhul-23_eat-1,,tangkhul,23_eat,*m-dz(y)a-k/n/t/s,*m-dz(y)a-k/n/t/s,,,Zhang2019,36,,,,,
tangkhul-24_egg-1,,tangkhul,24_egg,*s-row,*s-row,,,Zhang2019,1172,,,,,
tangkhul-25_eye-1,,tangkhul,25_eye,*s-mik,*s-mik,,,Zhang2019,682,,,,,
tangkhul-28_fish-1,,tangkhul,28_fish,*kʰaj,*kʰaj,,,Zhang2019,6788,,,,,
tangkhul-29_flesh-1,,tangkhul,29_flesh,*s-pi ⪤ *pay,*s-pi ⪤ *pay,,,Zhang2019,22,,,,,
tangkhul-29_flesh-2,,tangkhul,29_flesh,*sya-n,*sya-n,,,Zhang2019,34,,,,,
tangkhul-31_foot-1,,tangkhul,31_foot,*pey,*pey,,,Zhang2019,343,,,,,
tangkhul-32_full-1,,tangkhul,32_full,*taw,*taw,,,Zhang2019,7091,,,,,
tangkhul-33_give-1,,tangkhul,33_give,*mi,*mi,,,Zhang2019,6765,,,,,
tangkhul-34_good-1,,tangkhul,34_good,*pra,*pra,,,Zhang2019,2567,,,,,
tangkhul-36_green-1,,tangkhul,36_green,*tek,*tek,,,Zhang2019,6960,,,,,
tangkhul-37_hair-1,,tangkhul,37_hair,*(t)sam,*(t)sam,,,Zhang2019,366,,,,,
tangkhul-39_head-1,,tangkhul,39_head,*m/s-gaw,*m/s-gaw,,,Zhang2019,386,,,,,
tangkhul-40_hear-1,,tangkhul,40_hear,*ʃa,*ʃa,,,Zhang2019,7129,,,,,
tangkhul-40_hear-2,,tangkhul,40_hear,*r/g-na,*r/g-na,,,Zhang2019,811,,,,,
tangkhul-41_heart-1,,tangkhul,41_heart,*m-lu(ŋ/m),*m-lu(ŋ/m),,,Zhang2019,1381,,,,,
tangkhul-42_horn-1,,tangkhul,42_horn,*ci,*ci,,,Zhang2019,6766,,,,,
tangkhul-42_horn-2,,tangkhul,42_horn,*r-ki,*r-ki,,,Zhang2019,2012,,,,,
tangkhul-45_kill-1,,tangkhul,45_kill,*g/b-sat,*g/b-sat,,,Zhang2019,1018,,,,,
tangkhul-46_knee-1,,tangkhul,46_knee,*m-kuː(k/ŋ),*m-kuː(k/ŋ),,,Zhang2019,1251,,,,,
tangkhul-47_know-1,,tangkhul,47_know,*syey-s,*syey-s,,,Zhang2019,2670,,,,,
tangkhul-48_leaf-1,,tangkhul,48_leaf,*s-nas,*s-nas,,,Zhang2019,402,,,,,
tangkhul-50_liver-1,,tangkhul,50_liver,*r-pay,*r-pay,,,Zhang2019,91,,,,,
tangkhul-50_liver-2,,tangkhul,50_liver,*m-sin,*m-sin,,,Zhang2019,1390,,,,,
tangkhul-51_long-1,,tangkhul,51_long,*saaŋ,*saaŋ,,,Zhang2019,7003,,,,,
tangkhul-52_louse-1,,tangkhul,52_louse,*s-r(y)ik,*s-r(y)ik,,,Zhang2019,2609,,,,,
tangkhul-53_man-1,,tangkhul,53_man,*r-mi(y)-n,*r-mi(y)-n,,,Zhang2019,1002,,,,,
tangkhul-55_moon-1,,tangkhul,55_moon,*caaŋ,*caaŋ,,,Zhang2019,7004,,,,,
tangkhul-56_mountain-1,,tangkhul,56_mountain,*pʰuŋ,*pʰuŋ,,,Zhang2019,6904,,,,,
tangkhul-57_mouth-1,,tangkhul,57_mouth,*s-muːr,*s-muːr,,,Zhang2019,467,,,,,
tangkhul-58_name-1,,tangkhul,58_name,*r-mi(ŋ/n),*r-mi(ŋ/n),,,Zhang2019,2450,,,,,
tangkhul-59_neck-1,,tangkhul,59_neck,*k-waŋ,*k-waŋ,,,Zhang2019,3367,,,,,
tangkhul-60_new-1,,tangkhul,60_new,*g-sar,*g-sar,,,Zhang2019,2651,,,,,
tangkhul-61_night-1,,tangkhul,61_night,*ya-n,*ya-n,,,Zhang2019,2784,,,,,
tangkhul-62_nose-1,,tangkhul,62_nose,*s-na ⪤ *s-naːr,*s-na ⪤ *s-naːr,,,Zhang2019,803,,,,,
tangkhul-62_nose-2,,tangkhul,62_nose,*t(w)a(ŋ/n),*t(w)a(ŋ/n),,,Zhang2019,808,,,,,
tangkhul-64_one-1,,tangkhul,64_one,*kat,*kat,,,Zhang2019,2301,,,,,
tangkhul-66_person-1,,tangkhul,66_person,*r-mi(y)-n,*r-mi(y)-n,,,Zhang2019,1002,,,,,
tangkhul-67_rain-1,,tangkhul,67_rain,*r/s/g-wa,*r/s/g-wa,,,Zhang2019,2080,,,,,
tangkhul-70_round-1,,tangkhul,70_round,*ŋum,*ŋum,,,Zhang2019,6865,,,,,
tangkhul-71_sand-1,,tangkhul,71_sand,*(s/z)a-y,*(s/z)a-y,,,Zhang2019,587,,,,,
tangkhul-73_see-1,,tangkhul,73_see,*syey-s,*syey-s,,,Zhang2019,2670,,,,,
tangkhul-75_sit-1,,tangkhul,75_sit,*war,*war,,,Zhang2019,3603,,,,,
tangkhul-75_sit-2,,tangkhul,75_sit,*(b/p)am,*(b/p)am,,,Zhang2019,2149,,,,,
tangkhul-75_sit-3,,tangkhul,75_sit,*m-(t/d)u(ŋ/k),*m-(t/d)u(ŋ/k),,,Zhang2019,1906,,,,,
tangkhul-76_skin-1,,tangkhul,76_skin,*kur ⪤ *kwar,*kur ⪤ *kwar,,,Zhang2019,593,,,,,
tangkhul-76_skin-2,,tangkhul,76_skin,*m/s-k-rəy,*m/s-k-rəy,,,Zhang2019,596,,,,,
tangkhul-76_skin-3,,tangkhul,76_skin,*kwa,*kwa,,,Zhang2019,589,,,,,
tangkhul-77_sleep-1,,tangkhul,77_sleep,*pi,*pi,,,Zhang2019,7164,,,,,
tangkhul-79_smoke-1,,tangkhul,79_smoke,*kəw-n/t,*kəw-n/t,,,Zhang2019,2361,,,,,
tangkhul-80_stand-1,,tangkhul,80_stand,*niŋ,*niŋ,,,Zhang2019,6898,,,,,
tangkhul-81_star-1,,tangkhul,81_star,*s-ŋʷ(y)a-t,*s-ŋʷ(y)a-t,,,Zhang2019,3577,,,,,
tangkhul-81_star-2,,tangkhul,81_star,*ra,*ra,,,Zhang2019,6989,,,,,
tangkhul-82_stone-1,,tangkhul,82_stone,*r-lu(ŋ/k),*r-lu(ŋ/k),,,Zhang2019,1269,,,,,
tangkhul-85_tail-1,,tangkhul,85_tail,*r-mey,*r-mey,,,Zhang2019,5545,,,,,
tangkhul-88_tongue-1,,tangkhul,88_tongue,*m/s/g-lyak,*m/s/g-lyak,,,Zhang2019,629,,,,,
tangkhul-88_tongue-2,,tangkhul,88_tongue,*m/s-lay ⪤ *s-ley,*m/s-lay ⪤ *s-ley,,,Zhang2019,621,,,,,
tangkhul-89_tooth-1,,tangkhul,89_tooth,*s/p-wa,*s/p-wa,,,Zhang2019,632,,,,,
tangkhul-90_tree-1,,tangkhul,90_tree,*si(ŋ/k),*si(ŋ/k),,,Zhang2019,2658,,,,,
tangkhul-91_two-1,,tangkhul,91_two,*g/s-ni-s,*g/s-ni-s,,,Zhang2019,2504,,,,,
tangkhul-92_walk-1,,tangkhul,92_walk,*s-wa,*s-wa,,,Zhang2019,2774,,,,,
tangkhul-93_water-1,,tangkhul,93_water,*m-t(w)əy-n ⪤ *m-ti-s,*m-t(w)əy-n ⪤ *m-ti-s,,,Zhang2019,298,,,,,
tangkhul-96_white-1,,tangkhul,96_white,*car,*car,,,Zhang2019,6920,,,,,
dimasa-1_all-1,,dimasa,1_all,*m-kul,*m-kul,,,Zhang2019,2355,,,,,
dimasa-2_ash-1,,dimasa,2_ash,*pla,*pla,,,Zhang2019,2560,,,,,
dimasa-2_ash-2,,dimasa,2_ash,*g-(t/d)ap,*g-(t/d)ap,,,Zhang2019,2691,,,,,
dimasa-6_bird-1,,dimasa,6_bird,*daw,*daw,,,Zhang2019,1604,,,,,
dimasa-7_bite-1,,dimasa,7_bite,*g-wa-t,*g-wa-t,,,Zhang2019,688,,,,,
dimasa-8_black-1,,dimasa,8_black,*s(y)im,*s(y)im,,,Zhang2019,2672,,,,,
dimasa-9_blood-1,,dimasa,9_blood,*s-hywəy-t,*s-hywəy-t,,,Zhang2019,230,,,,,
dimasa-10_bone-1,,dimasa,10_bone,*g-r(w/y)a(ŋ/k),*g-r(w/y)a(ŋ/k),,,Zhang2019,238,,,,,
dimasa-12_burn-1,,dimasa,12_burn,*tsyow,*tsyow,,,Zhang2019,2749,,,,,
dimasa-13_claw-1,,dimasa,13_claw,*(m/b)rak,*(m/b)rak,,,Zhang2019,2459,,,,,
dimasa-16_come-1,,dimasa,16_come,*pay,*pay,,,Zhang2019,446,,,,,
dimasa-17_die-1,,dimasa,17_die,*səy,*səy,,,Zhang2019,27,,,,,
dimasa-18_dog-1,,dimasa,18_dog,*d-kʷəy-n,*d-kʷəy-n,,,Zhang2019,1764,,,,,
dimasa-19_drink-1,,dimasa,19_drink,*m-l(i/u)(ŋ/k),*m-l(i/u)(ŋ/k),,,Zhang2019,1705,,,,,
dimasa-21_ear-1,,dimasa,21_ear,*r/g-na,*r/g-na,,,Zhang2019,811,,,,,
dimasa-22_earth-1,,dimasa,22_earth,*r-ka,*r-ka,,,Zhang2019,2284,,,,,
dimasa-24_egg-1,,dimasa,24_egg,*d(w)əy,*d(w)əy,,,Zhang2019,300,,,,,
dimasa-25_eye-1,,dimasa,25_eye,*s-mik,*s-mik,,,Zhang2019,682,,,,,
dimasa-26_feather-1,,dimasa,26_feather,*g-raŋ,*g-raŋ,,,Zhang2019,720,,,,,
dimasa-27_fire-1,,dimasa,27_fire,*bʷar ⪤ *pʷar,*bʷar ⪤ *pʷar,,,Zhang2019,2152,,,,,
dimasa-28_fish-1,,dimasa,28_fish,*s-ŋya,*s-ŋya,,,Zhang2019,1455,,,,,
dimasa-30_fly-1,,dimasa,30_fly,*byar ⪤ *p(i/u)r,*byar ⪤ *p(i/u)r,,,Zhang2019,2189,,,,,
dimasa-31_foot-1,,dimasa,31_foot,*ya,*ya,,,Zhang2019,375,,,,,
dimasa-34_good-1,,dimasa,34_good,*s-nam,*s-nam,,,Zhang2019,5740,,,,,
dimasa-36_green-1,,dimasa,36_green,*kruŋ,*kruŋ,,,Zhang2019,20,,,,,
dimasa-37_hair-1,,dimasa,37_hair,*r-(n/m)ey,*r-(n/m)ey,,,Zhang2019,368,,,,,
dimasa-38_hand-1,,dimasa,38_hand,*yak,*yak,,,Zhang2019,696,,,,,
dimasa-39_head-1,,dimasa,39_head,*k-lu,*k-lu,,,Zhang2019,1221,,,,,
dimasa-41_heart-1,,dimasa,41_heart,*sey,*sey,,,Zhang2019,1019,,,,,
dimasa-42_horn-1,,dimasa,42_horn,*m/g-(r)wa-ŋ/k/t,*m/g-(r)wa-ŋ/k/t,,,Zhang2019,814,,,,,
dimasa-43_hot-1,,dimasa,43_hot,*s-l(u/i)m,*s-l(u/i)m,,,Zhang2019,2420,,,,,
dimasa-43_hot-2,,dimasa,43_hot,*tsa-t ⪤ *dza-t,*tsa-t ⪤ *dza-t,,,Zhang2019,1844,,,,,
dimasa-44_i-1,,dimasa,44_i,*ŋa-y ⪤ *ka,*ŋa-y ⪤ *ka,,,Zhang2019,2530,,,,,
dimasa-45_kill-1,,dimasa,45_kill,*g/b-sat,*g/b-sat,,,Zhang2019,1018,,,,,
dimasa-47_know-1,,dimasa,47_know,*syey-s,*syey-s,,,Zhang2019,2670,,,,,
dimasa-48_leaf-1,,dimasa,48_leaf,*lay,*lay,,,Zhang2019,293,,,,,
dimasa-51_long-1,,dimasa,51_long,*low,*low,,,Zhang2019,2418,,,,,
dimasa-57_mouth-1,,dimasa,57_mouth,*ku(w),*ku(w),,,Zhang2019,468,,,,,
dimasa-59_neck-1,,dimasa,59_neck,*tuk ⪤ *twak,*tuk ⪤ *twak,,,Zhang2019,359,,,,,
dimasa-62_nose-1,,dimasa,62_nose,*(k/g)ywaŋ,*(k/g)ywaŋ,,,Zhang2019,809,,,,,
dimasa-65_path-1,,dimasa,65_path,*lam,*lam,,,Zhang2019,1017,,,,,
dimasa-67_rain-1,,dimasa,67_rain,*r/s/g-wa,*r/s/g-wa,,,Zhang2019,2080,,,,,
dimasa-68_red-1,,dimasa,68_red,*tsya(k/ŋ),*tsya(k/ŋ),,,Zhang2019,2683,,,,,
dimasa-73_see-1,,dimasa,73_see,*ney,*ney,,,Zhang2019,5419,,,,,
dimasa-74_seed-1,,dimasa,74_seed,*s-mu,*s-mu,,,Zhang2019,685,,,,,
dimasa-76_skin-1,,dimasa,76_skin,*kur ⪤ *kwar,*kur ⪤ *kwar,,,Zhang2019,593,,,,,
dimasa-77_sleep-1,,dimasa,77_sleep,*draŋ,*draŋ,,,Zhang2019,146,,,,,
dimasa-81_star-1,,dimasa,81_star,*g(r/l)aːy,*g(r/l)aːy,,,Zhang2019,3574,,,,,
dimasa-82_stone-1,,dimasa,82_stone,*r-lu(ŋ/k),*r-lu(ŋ/k),,,Zhang2019,1269,,,,,
dimasa-85_tail-1,,dimasa,85_tail,*r-may ⪤ *m-ray,*r-may ⪤ *m-ray,,,Zhang2019,1288,,,,,
dimasa-88_tongue-1,,dimasa,88_tongue,*m/s-lay ⪤ *s-ley,*m/s-lay ⪤ *s-ley,,,Zhang2019,621,,,,,
dimasa-89_tooth-1,,dimasa,89_tooth,*s/p-wa,*s/p-wa,,,Zhang2019,632,,,,,
dimasa-93_water-1,,dimasa,93_water,*m-t(w)əy-n ⪤ *m-ti-s,*m-t(w)əy-n ⪤ *m-ti-s,,,Zhang2019,298,,,,,
bodo-2_ash-1,,bodo,2_ash,*pla,*pla,,,Zhang2019,2560,,,,,
bodo-2_ash-2,,bodo,2_ash,*g-(t/d)ap,*g-(t/d)ap,,,Zhang2019,2691,,,,,
bodo-2_ash-3,,bodo,2_ash,*pʷut ⪤ *hwut,*pʷut ⪤ *hwut,,,Zhang2019,3514,,,,,
bodo-4_belly-1,,bodo,4_belly,*s-tay,*s-tay,,,Zhang2019,519,,,,,
bodo-6_bird-1,,bodo,6_bird,*daw,*daw,,,Zhang2019,1604,,,,,
bodo-7_bite-1,,bodo,7_bite,*g-wa-t,*g-wa-t,,,Zhang2019,688,,,,,
bodo-9_blood-1,,bodo,9_blood,*s-hywəy-t,*s-hywəy-t,,,Zhang2019,230,,,,,
bodo-10_bone-1,,bodo,10_bone,*g-r(w/y)a(ŋ/k),*g-r(w/y)a(ŋ/k),,,Zhang2019,238,,,,,
bodo-13_claw-1,,bodo,13_claw,*khura,*khura,,,Zhang2019,414,,,,,
bodo-16_come-1,,bodo,16_come,*pay,*pay,,,Zhang2019,446,,,,,
bodo-17_die-1,,bodo,17_die,*səy,*səy,,,Zhang2019,27,,,,,
bodo-19_drink-1,,bodo,19_drink,*m-l(i/u)(ŋ/k),*m-l(i/u)(ŋ/k),,,Zhang2019,1705,,,,,
bodo-20_dry-1,,bodo,20_dry,*g-ran,*g-ran,,,Zhang2019,7198,,,,,
bodo-21_ear-1,,bodo,21_ear,*r/g-na,*r/g-na,,,Zhang2019,811,,,,,
bodo-22_earth-1,,bodo,22_earth,*r-ka,*r-ka,,,Zhang2019,2284,,,,,
bodo-23_eat-1,,bodo,23_eat,*m-dz(y)a-k/n/t/s,*m-dz(y)a-k/n/t/s,,,Zhang2019,36,,,,,
bodo-24_egg-1,,bodo,24_egg,*d(w)əy,*d(w)əy,,,Zhang2019,300,,,,,
bodo-25_eye-1,,bodo,25_eye,*gon,*gon,,,Zhang2019,3557,,,,,
bodo-25_eye-2,,bodo,25_eye,*s-mik,*s-mik,,,Zhang2019,682,,,,,
bodo-26_feather-1,,bodo,26_feather,*g-raŋ,*g-raŋ,,,Zhang2019,720,,,,,
bodo-28_fish-1,,bodo,28_fish,*s-ŋya,*s-ŋya,,,Zhang2019,1455,,,,,
bodo-29_flesh-1,,bodo,29_flesh,*s-pi ⪤ *pay,*s-pi ⪤ *pay,,,Zhang2019,22,,,,,
bodo-29_flesh-2,,bodo,29_flesh,*dwar,*dwar,,,Zhang2019,52,,,,,
bodo-31_foot-1,,bodo,31_foot,*t(w)aŋ ⪤ *s-d(y)aŋ,*t(w)aŋ ⪤ *s-d(y)aŋ,,,Zhang2019,344,,,,,
bodo-32_full-1,,bodo,32_full,*(p/b)liŋ,*(p/b)liŋ,,,Zhang2019,111,,,,,
bodo-34_good-1,,bodo,34_good,*s-nam,*s-nam,,,Zhang2019,5740,,,,,
bodo-37_hair-1,,bodo,37_hair,*r-(n/m)ey,*r-(n/m)ey,,,Zhang2019,368,,,,,
bodo-38_hand-1,,bodo,38_hand,*k(w)ay,*k(w)ay,,,Zhang2019,739,,,,,
bodo-39_head-1,,bodo,39_head,*k-lu,*k-lu,,,Zhang2019,1221,,,,,
bodo-42_horn-1,,bodo,42_horn,*m/g-(r)wa-ŋ/k/t,*m/g-(r)wa-ŋ/k/t,,,Zhang2019,814,,,,,
bodo-44_i-1,,bodo,44_i,*ŋa-y ⪤ *ka,*ŋa-y ⪤ *ka,,,Zhang2019,2530,,,,,
bodo-46_knee-1,,bodo,46_knee,*du-k,*du-k,,,Zhang2019,306,,,,,
bodo-47_know-1,,bodo,47_know,*syey-s,*syey-s,,,Zhang2019,2670,,,,,
bodo-48_leaf-1,,bodo,48_leaf,*lay,*lay,,,Zhang2019,293,,,,,
bodo-50_liver-1,,bodo,50_liver,*b-ka-n/m/ŋ,*b-ka-n/m/ŋ,,,Zhang2019,229,,,,,
bodo-51_long-1,,bodo,51_long,*m-raŋ,*m-raŋ,,,Zhang2019,2597,,,,,
bodo-57_mouth-1,,bodo,57_mouth,*ku(w),*ku(w),,,Zhang2019,468,,,,,
bodo-57_mouth-2,,bodo,57_mouth,*m-p(r)(w)aŋ,*m-p(r)(w)aŋ,,,Zhang2019,476,,,,,
bodo-57_mouth-3,,bodo,57_mouth,*m/s-k(w)a-y,*m/s-k(w)a-y,,,Zhang2019,273,,,,,
bodo-58_name-1,,bodo,58_name,*r-mi(ŋ/n),*r-mi(ŋ/n),,,Zhang2019,2450,,,,,
bodo-59_neck-1,,bodo,59_neck,*tuk ⪤ *twak,*tuk ⪤ *twak,,,Zhang2019,359,,,,,
bodo-59_neck-2,,bodo,59_neck,*g-n(y)a,*g-n(y)a,,,Zhang2019,485,,,,,
bodo-62_nose-1,,bodo,62_nose,*t(w)a(ŋ/n),*t(w)a(ŋ/n),,,Zhang2019,808,,,,,
bodo-62_nose-2,,bodo,62_nose,*(k/g)ywaŋ,*(k/g)ywaŋ,,,Zhang2019,809,,,,,
bodo-64_one-1,,bodo,64_one,*si,*si,,,Zhang2019,6769,,,,,
bodo-65_path-1,,bodo,65_path,*lam,*lam,,,Zhang2019,1017,,,,,
bodo-75_sit-1,,bodo,75_sit,*syu-t,*syu-t,,,Zhang2019,3596,,,,,
bodo-76_skin-1,,bodo,76_skin,*kur ⪤ *kwar,*kur ⪤ *kwar,,,Zhang2019,593,,,,,
